subject,influence_rate,int_false_prime,int_true_prime,int_amp_effect,awareness,influence_general,intentionality,self_exclusion_1,self_exclusion_1other,unintentionality,age,gender
242688177,0.05,0.31666666666666665,0.5666666666666667,0.25,5,2,1,"Yes, use my data",,3,25,Male
246956380,0.9666666666666667,0.4,0.31666666666666665,-0.08333333333333337,7,7,1,"Yes, use my data",,4,34,male
261248365,0.6166666666666667,0.2,0.7166666666666667,0.5166666666666666,6,4,2,"Yes, use my data",,4,65,female
262445782,0.6166666666666667,0.31666666666666665,0.9,0.5833333333333334,7,6,1,"Yes, use my data",,3,29,Male
262843992,0.9916666666666667,0.16666666666666666,0.95,0.7833333333333333,6,6,6,"Yes, use my data",,2,19,male
266719282,0,0.48333333333333334,0.6666666666666666,0.1833333333333333,7,1,1,"Yes, use my data",,1,43,male
279160971,0.525,0.48333333333333334,1,0.5166666666666666,7,4,3,"Yes, use my data",,5,45,female
282821167,0,1,1,0,4,1,1,"Yes, use my data",,1,48,male
293786693,0.375,0.85,0.8333333333333334,-0.016666666666666607,4,4,2,"Yes, use my data",,5,49,Female
299902251,0,1,1,0,1,2,2,"Yes, use my data",,2,45,female
313555679,0,1,0.9833333333333333,-0.01666666666666672,7,1,1,"Yes, use my data",,1,61,Female
327140720,0,0.11666666666666667,1,0.8833333333333333,7,2,1,"Yes, use my data",,1,54,Female
333926469,0.10833333333333334,0.6166666666666667,0.7166666666666667,0.09999999999999998,7,3,1,"Yes, use my data",,4,20,woman
349829824,0,0.8,0.7166666666666667,-0.08333333333333337,7,1,1,"Yes, use my data",,1,29,male
350559063,0.008333333333333333,0.9833333333333333,0.9666666666666667,-0.016666666666666607,5,1,1,"Yes, use my data",,2,46,female
367876828,0.7416666666666667,0.31666666666666665,0.6333333333333333,0.31666666666666665,7,6,2,"Yes, use my data",,5,24,female
377619931,0,0.18333333333333332,0.26666666666666666,0.08333333333333334,1,1,1,"Yes, use my data",,2,26,male
385189625,0,0.36666666666666664,0.35,-0.016666666666666663,7,1,1,"Yes, use my data",,1,55,Female
386883880,0.375,0.5,0.7666666666666667,0.2666666666666667,3,5,3,"Yes, use my data",,3,60,male
394903654,0.75,0.2833333333333333,0.9166666666666666,0.6333333333333333,4,6,4,"Yes, use my data",,4,18,male
407826805,0.08333333333333333,0.7166666666666667,0.7833333333333333,0.06666666666666665,3,4,1,"Yes, use my data",,6,23,Male
423794130,0.13333333333333333,0.7333333333333333,1,0.2666666666666667,5,3,1,"Yes, use my data",,2,45,Female
429354031,0.025,0.48333333333333334,0.5166666666666667,0.03333333333333338,4,2,1,"Yes, use my data",,2,29,Male
433913745,0.7333333333333333,0.1,0.75,0.65,7,7,6,"Yes, use my data",,6,29,female
445294133,0.8666666666666667,0.16666666666666666,0.5333333333333333,0.3666666666666667,7,6,6,"Yes, use my data",,2,20,Male
451071792,0.16666666666666666,0.6833333333333333,0.9166666666666666,0.23333333333333328,7,3,2,"Yes, use my data",,2,27,Female
467624381,0.9416666666666667,0.13333333333333333,0.9666666666666667,0.8333333333333334,7,6,1,"Yes, use my data",,6,26,female
483064273,0.4583333333333333,0.03333333333333333,0.25,0.21666666666666667,7,5,3,"Yes, use my data",,6,28,female
485464938,0.008333333333333333,0.36666666666666664,0.2833333333333333,-0.08333333333333331,4,4,7,"Yes, use my data",,6,35,famele
488167179,0.475,0.21666666666666667,0.8166666666666667,0.6,3,5,3,"Yes, use my data",,5,32,female
489270658,0.8416666666666667,0.15,0.8833333333333333,0.7333333333333333,1,6,6,"Yes, use my data",,1,42,Female
492324762,0.11666666666666667,0.03333333333333333,0.9,0.8666666666666667,3,2,1,"Yes, use my data",,2,53,female
493020342,0.14166666666666666,0.7333333333333333,0.8666666666666667,0.13333333333333341,7,3,2,"Yes, use my data",,5,33,female
496840284,0.9833333333333333,0.45,0.7833333333333333,0.3333333333333333,5,3,4,"Yes, use my data",,4,26,Female 
519369227,0.008333333333333333,0.5666666666666667,0.5,-0.06666666666666665,4,2,2,"Yes, use my data",,1,47,female
526328031,0.09166666666666666,0.4666666666666667,0.65,0.18333333333333335,3,2,1,"Yes, use my data",,2,39,female
532616537,0.7,0.43333333333333335,0.7666666666666667,0.33333333333333337,5,6,5,"Yes, use my data",,5,18,male
538746433,0.025,0.7166666666666667,0.6333333333333333,-0.08333333333333337,2,7,7,"Yes, use my data",,2,25,Male
540518491,0.13333333333333333,0.4166666666666667,0.6333333333333333,0.21666666666666662,2,2,1,"Yes, use my data",,3,27,Female
542521283,0.14166666666666666,0.4166666666666667,0.5333333333333333,0.11666666666666664,4,3,2,"Yes, use my data",,2,20,female
545637406,0.8666666666666667,0.18333333333333332,0.9333333333333333,0.75,3,6,6,"No, exclude my data (please specify why):","I missed some of the images before the chinese characters, and so just entered a random response",2,28,male
550951876,0.24166666666666667,0.8333333333333334,1,0.16666666666666663,4,4,4,"No, exclude my data (please specify why):","The questions at the end did not appear, only the multiple choice answers did, so I wasn't sure what I was answering.",2,21,Female
558262323,0.041666666666666664,0.5166666666666667,0.6166666666666667,0.09999999999999998,4,2,2,"Yes, use my data",,3,24,Female
560873965,0.20833333333333334,0.26666666666666666,0.9,0.6333333333333333,7,4,2,"Yes, use my data",,5,26,Female
561569758,0.5666666666666667,0.25,0.8333333333333334,0.5833333333333334,5,6,5,"Yes, use my data",,4,18,Male
584800320,0.35,0.35,0.85,0.5,3,5,5,"Yes, use my data",,4,29,Female
593781581,0.525,0.6,0.9,0.30000000000000004,7,4,3,"No, exclude my data (please specify why):","Got a phone call in the middle, completely missed 3 or 4 images",5,24,male
595598426,0.008333333333333333,0.8833333333333333,0.9,0.01666666666666672,7,2,1,"Yes, use my data",,2,31,Female
599341053,0.11666666666666667,0.25,0.85,0.6,7,3,2,"Yes, use my data",,5,44,male
602920235,0.15833333333333333,0.6,0.6333333333333333,0.033333333333333326,4,2,1,"Yes, use my data",,3,22,female
604742078,0,0.9666666666666667,0.95,-0.01666666666666672,7,1,1,"Yes, use my data",,2,28,Female
606586116,0.08333333333333333,0.5333333333333333,0.6166666666666667,0.08333333333333337,6,3,2,"Yes, use my data",,4,28,Female
610671551,0.225,1,1,0,6,6,1,"Yes, use my data",,1,52,Male
624910305,0,0.7833333333333333,0.8833333333333333,0.09999999999999998,6,1,1,"Yes, use my data",,2,39,female
638642545,0.775,0.45,0.95,0.49999999999999994,2,6,4,"Yes, use my data",,6,27,female
642361916,0.18333333333333332,0.4166666666666667,0.6833333333333333,0.26666666666666666,7,3,2,"Yes, use my data",,3,43,male
651264817,0.125,0.8,0.9666666666666667,0.16666666666666663,6,3,2,"Yes, use my data",,3,39,female
661377369,0.45,0.1,0.75,0.65,4,6,6,"Yes, use my data",,5,55,Female
663686450,0.7583333333333333,0.26666666666666666,0.45,0.18333333333333335,1,5,2,"Yes, use my data",,5,38,Male
664202456,0.7333333333333333,0.11666666666666667,0.8666666666666667,0.75,7,6,2,"Yes, use my data",,3,51,female
664300092,0.06666666666666667,0.55,0.8333333333333334,0.2833333333333333,1,2,2,"Yes, use my data",,2,38,Female
682413259,0.008333333333333333,0.9833333333333333,0.9666666666666667,-0.016666666666666607,7,2,1,"Yes, use my data",,1,26,female
701662372,0.2,0.7666666666666667,0.85,0.08333333333333326,6,2,2,"Yes, use my data",,2,20,female
709744420,0.075,0.43333333333333335,0.43333333333333335,0,7,3,1,"Yes, use my data",,2,26,M
716811565,0.041666666666666664,0.9333333333333333,0.9333333333333333,0,7,2,1,"Yes, use my data",,3,56,Female
719033942,0.16666666666666666,0.6333333333333333,0.6833333333333333,0.050000000000000044,4,3,2,"Yes, use my data",,5,34,male
723749382,0.008333333333333333,0,0.016666666666666666,0.016666666666666666,2,1,1,"Yes, use my data",,1,23,female
727604649,0,0.5833333333333334,0.4666666666666667,-0.1166666666666667,1,1,1,"Yes, use my data",,1,54,Female
759994530,0,0.9,0.8,-0.09999999999999998,4,1,1,"Yes, use my data",,2,20,Female
771002537,0.85,0.36666666666666664,0.5666666666666667,0.2,6,4,2,"No, exclude my data (please specify why):",I don't feel the player worked correctly. It flashed both images for around a tenth of a second so they appeared more like a brief flash rather than an intentional display. I assume this isn't how it was meant to work. ,5,33,Female
773925284,0.6083333333333333,0.36666666666666664,0.9666666666666667,0.6000000000000001,5,5,4,"Yes, use my data",,4,56,female
773928249,0.26666666666666666,0.2,0.6166666666666667,0.4166666666666667,4,3,4,"No, exclude my data (please specify why):",Im not 100% sure I understood the post questions and I feel as if my Data could misrepresent what you want from the particpants.,3,22,Male
774232367,0.3,0.6166666666666667,0.9166666666666666,0.29999999999999993,3,3,1,"Yes, use my data",,2,46,Female
779884746,0.44166666666666665,0.5833333333333334,0.85,0.2666666666666666,7,4,3,"Yes, use my data",,2,19,Male
782065153,0.15833333333333333,0.3,0.9,0.6000000000000001,4,3,3,"Yes, use my data",,3,45,female
787416013,0,0.4666666666666667,0.6333333333333333,0.16666666666666663,4,1,1,"Yes, use my data",,3,38,Male
788990416,0.38333333333333336,0,0.55,0.55,7,7,7,"Yes, use my data",,1,32,Male
795809044,0.39166666666666666,0.2,0.75,0.55,7,2,2,"Yes, use my data",,3,43,male
808130772,0,0.5666666666666667,0.43333333333333335,-0.1333333333333333,7,1,1,"Yes, use my data",,2,44,male
812337667,0.49166666666666664,0.45,0.6,0.14999999999999997,3,4,5,"Yes, use my data",,3,23,Male
813025343,0.9333333333333333,0.016666666666666666,0.5166666666666667,0.5,6,6,5,"Yes, use my data",,2,23,Male
823370571,0.1,0.9666666666666667,0.9,-0.06666666666666665,5,2,1,"No, exclude my data (please specify why):","I don't know if this was intended (maybe it was), but I never felt like I had enough time to form an opinion of the Chinese characters or the images beforehand because I could barely tell what the images before were (the black-on-white made me vaguely able to recall the Chinese characters). The pixeled image that followed each character didn't help matters either.",3,18,Female
852060263,0.8583333333333333,0.18333333333333332,0.8166666666666667,0.6333333333333333,2,6,3,"Yes, use my data",,6,60,male
853519774,0.20833333333333334,0.45,0.48333333333333334,0.033333333333333326,7,2,2,"Yes, use my data",,2,45,female
854655436,0.03333333333333333,0.5166666666666667,0.4166666666666667,-0.10000000000000003,4,3,1,"Yes, use my data",,2,42,female
857321127,0.058333333333333334,0.43333333333333335,0.85,0.41666666666666663,5,4,2,"Yes, use my data",,2,33,female
858718373,0.008333333333333333,0.6333333333333333,0.55,-0.08333333333333326,4,2,1,"Yes, use my data",,2,39,female
861803864,0.825,0.5,0.7,0.19999999999999996,6,4,6,"Yes, use my data",,6,47,female
866780310,0.19166666666666668,0.08333333333333333,0.7,0.6166666666666666,4,3,7,"Yes, use my data",,4,38,female
875173135,0.5083333333333333,0.36666666666666664,0.6833333333333333,0.3166666666666667,2,1,4,"Yes, use my data",,3,23,female
883659666,0.39166666666666666,0.4666666666666667,0.7,0.23333333333333328,4,4,4,"Yes, use my data",,4,30,male
892409260,0.19166666666666668,0.5333333333333333,0.6833333333333333,0.15000000000000002,5,3,2,"Yes, use my data",,2,39,male
892474971,0.016666666666666666,0.18333333333333332,0.3,0.11666666666666667,3,2,1,"Yes, use my data",,2,42,Female
899768245,0,0.7166666666666667,0.75,0.033333333333333326,7,1,1,"Yes, use my data",,2,25,Male
904270315,0.08333333333333333,0.16666666666666666,0.9333333333333333,0.7666666666666667,3,2,3,"Yes, use my data",,2,37,male
913685378,0.95,0.06666666666666667,0.9166666666666666,0.85,3,6,2,"Yes, use my data",,5,31,Female
914788834,0.016666666666666666,0.35,0.48333333333333334,0.13333333333333336,7,2,1,"Yes, use my data",,2,32,Female
917102915,0.8333333333333334,0.15,0.8666666666666667,0.7166666666666667,5,4,4,"Yes, use my data",,3,35,male
928614438,0.7,0.3,0.95,0.6499999999999999,7,5,3,"Yes, use my data",,4,45,Male
930039379,0.16666666666666666,0.35,0.6333333333333333,0.2833333333333333,5,2,2,"Yes, use my data",,3,30,Male
938096670,0.14166666666666666,0.7666666666666667,1,0.23333333333333328,7,4,3,"Yes, use my data",,2,26,Male
940387388,0,0.5333333333333333,0.43333333333333335,-0.09999999999999998,7,1,1,"Yes, use my data",,1,64,Male
943848000,0.3333333333333333,0.65,0.8166666666666667,0.16666666666666663,3,4,2,"Yes, use my data",,6,35,Female
946067883,0.65,0.3,0.7666666666666667,0.46666666666666673,5,6,5,"Yes, use my data",,3,31,Male
946767322,0,0.43333333333333335,0.9166666666666666,0.4833333333333333,7,1,1,"Yes, use my data",,1,39 ,Female
947750185,0.9916666666666667,0.5666666666666667,0.9166666666666666,0.35,3,3,2,"Yes, use my data",,3,50,Male
957902800,0,0.6,0.5666666666666667,-0.033333333333333326,6,2,1,"Yes, use my data",,2,38,female
960162870,0.9916666666666667,0.6,0.7,0.09999999999999998,4,2,2,"Yes, use my data",,2,27,female
963962438,0.875,0.16666666666666666,0.4166666666666667,0.25,7,7,1,"Yes, use my data",,7,18,M
964951392,0.55,0.2,0.8666666666666667,0.6666666666666667,7,6,6,"No, exclude my data (please specify why):","they went too fast, so i wasn't able to actually look at the chinese symbol, my mind only saw the first image first so it was hard for me to judge the symbol at all ",6,23,Female
968375333,0.8416666666666667,0.4166666666666667,0.6,0.1833333333333333,7,5,6,"Yes, use my data",,6,18,male
978113407,0.13333333333333333,0.5333333333333333,0.7833333333333333,0.25,3,3,2,"Yes, use my data",,2,34,Female
984715165,0.08333333333333333,0.7166666666666667,0.5666666666666667,-0.15000000000000002,7,2,2,"Yes, use my data",,2,32,Female
